Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss Category,Loss per User ($),Period,Severity Score
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63,High,104.16,Before 2020,0.793
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71,Medium,210.13,Before 2020,0.492
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20,Low,63.79,Before 2020,0.474
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7,Medium,62.85,2020 & After,0.512
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,Medium,91.79,Before 2020,0.771
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,High,344.46,Before 2020,0.704
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34,Low,77.12,Before 2020,0.372
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,Medium,65.09,Before 2020,0.72
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47,Low,24.17,Before 2020,0.381
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,Medium,100.8,2020 & After,0.689
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,High,179.61,Before 2020,0.73
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27,Low,42.15,Before 2020,0.601
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,Low,52.4,Before 2020,0.417
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35,Medium,97.32,2020 & After,0.59
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64,Medium,52.06,2020 & After,0.657
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,Medium,532.42,2020 & After,0.434
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67,Low,15.34,Before 2020,0.418
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56,High,115.66,Before 2020,0.881
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28,Low,24.22,Before 2020,0.316
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,Low,139.22,Before 2020,0.323
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,Medium,53.85,Before 2020,0.666
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,Low,67.72,2020 & After,0.211
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,Medium,311.57,Before 2020,0.559
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32,Low,109.7,2020 & After,0.197
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,Medium,74.16,2020 & After,0.591
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52,Medium,81.23,2020 & After,0.558
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,Medium,92.97,2020 & After,0.547
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24,Low,27.91,2020 & After,0.532
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,High,145.59,2020 & After,0.764
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61,High,91.4,Before 2020,0.858
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11,Medium,97.57,2020 & After,0.669
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,Low,74.44,2020 & After,0.209
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,Medium,504.25,Before 2020,0.292
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,High,101.26,2020 & After,0.98
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,Low,127.53,2020 & After,0.133
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31,Low,24,2020 & After,0.402
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,Low,27.41,2020 & After,0.408
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,High,384.94,2020 & After,0.581
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,Low,138.24,2020 & After,0.289
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,High,688.72,Before 2020,0.638
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,High,404.4,Before 2020,0.674
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,High,118.61,2020 & After,0.92
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,Low,52.49,Before 2020,0.542
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,Medium,183.87,Before 2020,0.606
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,High,98.58,2020 & After,0.935
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,Low,25.58,2020 & After,0.44
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,Low,56.78,Before 2020,0.357
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,Low,34.86,Before 2020,0.367
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,Low,29.99,Before 2020,0.264
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,Medium,197.81,Before 2020,0.608
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,Medium,525.38,2020 & After,0.404
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,Low,22.06,Before 2020,0.524
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,High,4967.21,Before 2020,0.52
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,Medium,129.21,Before 2020,0.683
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,Low,13.51,Before 2020,0.385
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,High,96,2020 & After,0.877
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57,Medium,96.01,2020 & After,0.682
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,Medium,251.28,Before 2020,0.58
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65,Medium,226.48,Before 2020,0.337
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,High,1001.45,2020 & After,0.597
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,Low,874.31,Before 2020,0.23
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,Medium,137.58,Before 2020,0.381
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,Medium,154.23,2020 & After,0.631
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,Medium,181.11,Before 2020,0.601
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,Medium,545.11,2020 & After,0.487
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,High,260.66,Before 2020,0.661
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,Medium,118.57,2020 & After,0.63
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,High,266.01,Before 2020,0.626
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,Low,28.77,Before 2020,0.571
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,Medium,63.15,2020 & After,0.679
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,Medium,46.25,Before 2020,0.637
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,Low,69.75,Before 2020,0.243
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,Medium,2760.85,Before 2020,0.481
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,Low,63.53,2020 & After,0.357
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,High,93.84,Before 2020,0.899
